PageName,WikidataID,ImageURL
Whitney Houston,Q34389,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Whitney_Houston_%28cropped3%29.JPEG/450px-Whitney_Houston_%28cropped3%29.JPEG
Leonardo DiCaprio,Q38111,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Leonardo_Dicaprio_Cannes_2019.jpg/450px-Leonardo_Dicaprio_Cannes_2019.jpg
Deion Sanders,Q954184,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Deion_Sanders_and_Les_Brown_Best_Motivational_Speeches_Ever_3-55_screenshot_%28cropped%29.png/450px-Deion_Sanders_and_Les_Brown_Best_Motivational_Speeches_Ever_3-55_screenshot_%28cropped%29.png
Jimmy Carter,Q23685,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/JimmyCarterPortrait2.jpg/450px-JimmyCarterPortrait2.jpg
Selena Gomez,Q83287,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Selena_Gomez_at_White_House.jpg/450px-Selena_Gomez_at_White_House.jpg
Kanye West,Q15935,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kanye_West_at_the_2009_Tribeca_Film_Festival_%28crop_2%29.jpg/450px-Kanye_West_at_the_2009_Tribeca_Film_Festival_%28crop_2%29.jpg
Jennifer Lawrence,Q189490,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Jennifer_Lawrence_in_2016.jpg/450px-Jennifer_Lawrence_in_2016.jpg
Albert Einstein,Q937,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/450px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg
Miley Cyrus,Q4235,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Miley_Cyrus_Primavera19_-226_%2848986293772%29_%28cropped%29.jpg/450px-Miley_Cyrus_Primavera19_-226_%2848986293772%29_%28cropped%29.jpg
Tom Brady,Q313381,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Tom_Brady_2021.png/450px-Tom_Brady_2021.png
Harry Styles,Q3626966,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/HarryStylesWembley170623_%2865_of_93%29_%2852982678051%29_%28cropped_2%29.jpg/450px-HarryStylesWembley170623_%2865_of_93%29_%2852982678051%29_%28cropped_2%29.jpg
Anya Taylor-Joy,Q20882479,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Anya_Taylor-Joy_by_Patrick_Lovell%2C_January_2019.jpg/450px-Anya_Taylor-Joy_by_Patrick_Lovell%2C_January_2019.jpg
Kirstie Alley,Q151935,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/KirstieAlley1994.jpg/450px-KirstieAlley1994.jpg
Clint Eastwood,Q43203,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Clint_Eastwood_at_2010_New_York_Film_Festival.jpg/450px-Clint_Eastwood_at_2010_New_York_Film_Festival.jpg
Danny Masterson,Q374220,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Danny_Masterson_%28cropped%29.jpg/450px-Danny_Masterson_%28cropped%29.jpg
Marilyn Monroe,Q4616,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/450px-Monroecirca1953.jpg
Steven Spielberg,Q8877,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/MKr25425_Steven_Spielberg_%28Berlinale_2023%29.jpg/450px-MKr25425_Steven_Spielberg_%28Berlinale_2023%29.jpg
Jennifer Aniston,Q32522,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/JenniferAnistonHWoFFeb2012.jpg/450px-JenniferAnistonHWoFFeb2012.jpg
Val Kilmer,Q191084,https://upload.wikimedia.org/wikipedia/commons/2/22/Val_Kilmer_Cannes.jpg
