PageName,WikidataID,ImageURL
Michael J. Fox,Q395274,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Michael_J_Fox_2020.jpg/450px-Michael_J_Fox_2020.jpg
Edward VIII,Q590227,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/HRH_The_Prince_of_Wales_No_4_%28HS85-10-36416%29.jpg/450px-HRH_The_Prince_of_Wales_No_4_%28HS85-10-36416%29.jpg
Kim Kardashian,Q186304,https://upload.wikimedia.org/wikipedia/commons/2/29/Kim_Kardashian_Vogue_2021.png
Chris Pratt,Q503706,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Pratt_2018.jpg/450px-Chris_Pratt_2018.jpg
Ashton Kutcher,Q164782,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Ashton_Kutcher_-_2023_-_P060603-652701_%28cropped%29.jpg/450px-Ashton_Kutcher_-_2023_-_P060603-652701_%28cropped%29.jpg
Kate Winslet,Q202765,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Kate_Winslet_at_the_2017_Toronto_International_Film_Festival_%28cropped%29.jpg/450px-Kate_Winslet_at_the_2017_Toronto_International_Film_Festival_%28cropped%29.jpg
Dodi Fayed,Q328744,https://upload.wikimedia.org/wikipedia/en/7/70/DodiAl-Fayed.jpg
Austin Butler,Q469954,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Austin_Butler_%2852123912556%29.jpg/450px-Austin_Butler_%2852123912556%29.jpg
Conor McGregor,Q5162259,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Conor_McGregor_2018.jpg/450px-Conor_McGregor_2018.jpg
Sandra Bullock,Q40791,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Sandra_Bullock_in_July_2013.jpg/450px-Sandra_Bullock_in_July_2013.jpg
David Bowie,Q5383,https://upload.wikimedia.org/wikipedia/commons/e/e8/David-Bowie_Chicago_2002-08-08_photoby_Adam-Bielawski-cropped.jpg
Jason Statham,Q169963,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Jason_Statham_2018.jpg/450px-Jason_Statham_2018.jpg
Jon Jones,Q285450,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Jon_Jones_-_Supporting_Brain_Health_Study.jpg/450px-Jon_Jones_-_Supporting_Brain_Health_Study.jpg
Mila Kunis,Q37628,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Mila_Kunis_2018_%28cropped_2%29.jpg/450px-Mila_Kunis_2018_%28cropped_2%29.jpg
Al Pacino,Q41163,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Al_Pacino_2016_%2830401544240%29.jpg/450px-Al_Pacino_2016_%2830401544240%29.jpg
Jonathan Majors,Q31970512,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Jonathan_Majors_on_ColliderVideo%2C_September_2018.png/450px-Jonathan_Majors_on_ColliderVideo%2C_September_2018.png
Jason Kelce,Q6162843,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/JasonKelce.jpg/450px-JasonKelce.jpg
Marie Antoinette,Q47365,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Marie-Antoinette%2C_1775_-_Mus%C3%A9e_Antoine_L%C3%A9cuyer.jpg/450px-Marie-Antoinette%2C_1775_-_Mus%C3%A9e_Antoine_L%C3%A9cuyer.jpg
Lady Gaga,Q19848,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lady_Gaga_at_Joe_Biden%27s_inauguration_%28cropped_5%29.jpg/450px-Lady_Gaga_at_Joe_Biden%27s_inauguration_%28cropped_5%29.jpg
Kiara Advani,Q16762720,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Kiara_Advani_snapped_at_the_screening_of_Shershaah_in_New_Delhi_%28cropped%29.jpg/450px-Kiara_Advani_snapped_at_the_screening_of_Shershaah_in_New_Delhi_%28cropped%29.jpg
Alexis Mac Allister,Q33297140,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Alexis_Mac_Allister_2022.jpg/450px-Alexis_Mac_Allister_2022.jpg
Catherine Zeta-Jones,Q47664,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Catherine_Zeta-Jones_VF_2012_Shankbone_2.jpg/450px-Catherine_Zeta-Jones_VF_2012_Shankbone_2.jpg
Macaulay Culkin,Q103578,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Macaulay_Culkin_singing_%282010%29.jpg/450px-Macaulay_Culkin_singing_%282010%29.jpg
Alan Rickman,Q106481,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Alan_Rickman_at_BAM_-17.jpg/450px-Alan_Rickman_at_BAM_-17.jpg
Kareem Abdul-Jabbar,Q179051,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Kareem_Abdul-Jabbar_May_2014.jpg/450px-Kareem_Abdul-Jabbar_May_2014.jpg
Brock Purdy,Q71605297,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BrockPurdy2021_%28cropped2%29.jpg/450px-BrockPurdy2021_%28cropped2%29.jpg
Nikki Haley,Q11668,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Nikki_Haley_by_Gage_Skidmore_4.jpg/450px-Nikki_Haley_by_Gage_Skidmore_4.jpg
Matthew McConaughey,Q188955,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Matthew_McConaughey_2019_%2848648344772%29.jpg/450px-Matthew_McConaughey_2019_%2848648344772%29.jpg
Mark Wahlberg,Q164119,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mark_Wahlberg_2021.jpg/450px-Mark_Wahlberg_2021.jpg
